tgn_uri,pleiades_uri,tgn_label,tgn_parentstring
http://vocab.getty.edu/tgn/1031784,http://pleiades.stoa.org/places/147992,Anduze,"Languedoc-Roussillon, France, Europe, World"
http://vocab.getty.edu/tgn/1031797,http://pleiades.stoa.org/places/167685,Annecy-le-Vieux,"Rhône-Alpes, France, Europe, World"
http://vocab.getty.edu/tgn/1031803,http://pleiades.stoa.org/places/167657,Anse,"Rhône-Alpes, France, Europe, World"
http://vocab.getty.edu/tgn/1031844,http://pleiades.stoa.org/places/138192,Argenton-sur-Creuse,"Centre, France, Europe, World"
http://vocab.getty.edu/tgn/1032034,http://pleiades.stoa.org/places/108788,Bavay,"Nord-Pas-de-Calais, France, Europe, World"
http://vocab.getty.edu/tgn/1032441,http://pleiades.stoa.org/places/138277,Castelnau-de-Montratier,"Midi-Pyrénées, France, Europe, World"
http://vocab.getty.edu/tgn/1032442,http://pleiades.stoa.org/places/246660,Castelnaudary,"Languedoc-Roussillon, France, Europe, World"
http://vocab.getty.edu/tgn/1032455,http://pleiades.stoa.org/places/148027,Cavaillon,"Provence-Alpes-Côte d'Azur, France, Europe, World"
http://vocab.getty.edu/tgn/1032488,http://pleiades.stoa.org/places/108880,Château-Porcien,"Champagne-Ardenne, France, Europe, World"
http://vocab.getty.edu/tgn/1032825,http://pleiades.stoa.org/places/138312,Coutras,"Aquitaine, France, Europe, World"
http://vocab.getty.edu/tgn/1033000,http://pleiades.stoa.org/places/246380,Eauze,"Midi-Pyrénées, France, Europe, World"
http://vocab.getty.edu/tgn/1033018,http://pleiades.stoa.org/places/177540,Entrains-sur-Nohain,"Bourgogne, France, Europe, World"
http://vocab.getty.edu/tgn/1033094,http://pleiades.stoa.org/places/167771,Feurs,"Rhône-Alpes, France, Europe, World"
http://vocab.getty.edu/tgn/1033318,http://pleiades.stoa.org/places/109016,Grand,"Lorraine, France, Europe, World"
http://vocab.getty.edu/tgn/1033499,http://pleiades.stoa.org/places/177545,Izernore,"Rhône-Alpes, France, Europe, World"
http://vocab.getty.edu/tgn/1033759,http://pleiades.stoa.org/places/138328,Lalinde,"Aquitaine, France, Europe, World"
http://vocab.getty.edu/tgn/1033783,http://pleiades.stoa.org/places/138172,Langon,"Aquitaine, France, Europe, World"
http://vocab.getty.edu/tgn/1034054,http://pleiades.stoa.org/places/109069,Lillebonne,"Haute-Normandie, France, Europe, World"
http://vocab.getty.edu/tgn/1034081,http://pleiades.stoa.org/places/148121,Lodève,"Languedoc-Roussillon, France, Europe, World"
http://vocab.getty.edu/tgn/1034225,http://pleiades.stoa.org/places/177516,Mandeure,"Franche-Comté, France, Europe, World"
http://vocab.getty.edu/tgn/1034573,http://pleiades.stoa.org/places/148215,Mouriès,"Provence-Alpes-Côte d'Azur, France, Europe, World"
http://vocab.getty.edu/tgn/1034584,http://pleiades.stoa.org/places/109183,Mouzon,"Champagne-Ardenne, France, Europe, World"
http://vocab.getty.edu/tgn/1034849,http://pleiades.stoa.org/places/140510,Pierre-Buffière,"Limousin, France, Europe, World"
http://vocab.getty.edu/tgn/1034959,http://pleiades.stoa.org/places/246571,Port-Vendres,"Languedoc-Roussillon, France, Europe, World"
http://vocab.getty.edu/tgn/1035074,http://pleiades.stoa.org/places/138533,Rezé,"Pays de la Loire, France, Europe, World"
http://vocab.getty.edu/tgn/1035263,http://pleiades.stoa.org/places/246600,Saint-Béat,"Midi-Pyrénées, France, Europe, World"
http://vocab.getty.edu/tgn/1035905,http://pleiades.stoa.org/places/157799,Tourves,"Provence-Alpes-Côte d'Azur, France, Europe, World"
http://vocab.getty.edu/tgn/1035991,http://pleiades.stoa.org/places/69463,Valognes,"Basse-Normandie, France, Europe, World"
http://vocab.getty.edu/tgn/1038240,http://pleiades.stoa.org/places/108761,Asberg,"Nordrhein-Westfalen, Deutschland, Europe, World"
http://vocab.getty.edu/tgn/1038587,http://pleiades.stoa.org/places/16320542,Bottendorf,"Rheinland-Pfalz, Deutschland, Europe, World"
http://vocab.getty.edu/tgn/1040234,http://pleiades.stoa.org/places/119017,Manching,"Bayern, Deutschland, Europe, World"
http://vocab.getty.edu/tgn/1040290,http://pleiades.stoa.org/places/782507577,Mehring,"Rheinland-Pfalz, Deutschland, Europe, World"
http://vocab.getty.edu/tgn/1041735,http://pleiades.stoa.org/places/109456,Welschbillig,"Rheinland-Pfalz, Deutschland, Europe, World"
http://vocab.getty.edu/tgn/1041930,http://pleiades.stoa.org/places/540630,Amfissa,"Fokís, Sterea Ellás-Évvoia, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1041944,http://pleiades.stoa.org/places/491585,Édhessa,"Pélla, Makedhonía, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1041951,http://pleiades.stoa.org/places/540599,Agrinion,"Aitolía kai Akarnanía, Sterea Ellás-Évvoia, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1041968,http://pleiades.stoa.org/places/599495,Andimákhia,"Kos, Nísos, Dodekánisos, Nísoi Aiyaíou, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1042033,http://pleiades.stoa.org/places/530906,Vathí,"Itháki, Nísos, Kefallinía, Iónioi Nísoi, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1042038,http://pleiades.stoa.org/places/570314,Kéa,"Kéa, Kikládhes, Nísoi Aiyaíou, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1042044,http://pleiades.stoa.org/places/570402,Kíthnos,"Kýthnos, Nísos, Kikládhes, Nísoi Aiyaíou, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1042044,http://pleiades.stoa.org/places/570403,Kíthnos,"Kýthnos, Nísos, Kikládhes, Nísoi Aiyaíou, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1042068,http://pleiades.stoa.org/places/501523,Kavála,"Kaválla, Makedhonía, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1042072,http://pleiades.stoa.org/places/550496,Khóra,"Chíos, Nísos, Khíos, Nísoi Aiyaíou, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1042083,http://pleiades.stoa.org/places/570390,Killíni,"Ilía, Pelopónnisos, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1042106,http://pleiades.stoa.org/places/530974,Lefkás,"Lefkás, Nísos, Levkás, Iónioi Nísoi, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1042118,http://pleiades.stoa.org/places/599808,Khóra,"Mýkonos, Nísos, Kikládhes, Nísoi Aiyaíou, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1042133,http://pleiades.stoa.org/places/570483,Methóni,"Messinía, Pelopónnisos, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1042170,http://pleiades.stoa.org/places/570641,Pírgos,"Ilía, Pelopónnisos, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1042203,http://pleiades.stoa.org/places/590044,Sérifos,"Sérifos, Nísos, Kikládhes, Nísoi Aiyaíou, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1042229,http://pleiades.stoa.org/places/590073,Tínos,"Tínos, Nísos, Kikládhes, Nísoi Aiyaíou, Ellás, Europe, World"
http://vocab.getty.edu/tgn/1043090,http://pleiades.stoa.org/places/432621,Acerra,"Napoli, Campania, Italia, Europe, World"
http://vocab.getty.edu/tgn/1043116,http://pleiades.stoa.org/places/462082,Agira,"Enna, Sicilia, Italia, Europe, World"
http://vocab.getty.edu/tgn/1043248,http://pleiades.stoa.org/places/442471,Aquilonia,"Avellino, Campania, Italia, Europe, World"
http://vocab.getty.edu/tgn/1043322,http://pleiades.stoa.org/places/462106,Assoro,"Enna, Sicilia, Italia, Europe, World"
